	pyrE2_A	pyrE2_B	pyrE2_C	trmB1_A	trmB1_B	trmB1_C	trmB4_A	trmB4_B	trmB4_C
HVO_RS14465	20074.0770123223	17193.6516366835	16500.7021965223	21841.2146953689	18279.063732918	19096.3926568437	3864.09564609732	3598.11954268571	4490.8666013894
HVO_RS14470	8941.90391405776	4653.67081514874	7324.92567550374	8555.06358372064	7380.44668861808	7647.82411668599	1648.27922180309	1789.55681453009	2067.29306536107
HVO_RS14475	4889.11480437486	2759.88533065071	4251.0456369175	4568.97074368532	3847.8180985978	4026.15924924602	693.919056115597	725.225651500456	823.018716435
HVO_RS14480	5184.08913723242	3288.04003427474	4322.38900651334	5156.79877815187	4234.33489657819	4858.94180002319	884.082405961743	831.25864330604	1028.77339554375
HVO_RS14485	7347.23424485459	6877.09131571981	7988.419012745	5778.04019563021	5899.92349236401	5190.80251574643	7.67740232298107	1.00031124344891	7.58043554611185
HVO_RS14630	3625.58490347539	4092.27560570223	2179.03034565563	29678.5093106883	29241.297008307	32478.5194803097	10290.0813904325	10010.1146131932	11535.2570624548
HVO_RS14745	1844.43720775307	2017.51403394841	2412.42508333343	352.696820679934	426.035971838734	359.4114166512	344.301965715228	584.18176617416	402.846003307658
HVO_RS14755	8436.71798766951	7504.04418942735	7288.23479971159	10088.3666041502	11038.379976238	9983.37217262498	17671.0178698646	23635.3540602107	22695.8240250589
HVO_RS14765	2689.80426130655	2371.15608200436	2340.06252274337	3081.4564333089	3059.36238600937	3129.50916449947	7022.46084788984	9909.08317760485	8212.86045453032
HVO_RS14895	440.766244499814	545.698303919227	772.546773623464	141.078728271973	187.957046399442	161.547291804895	76.1834538203506	137.0426403525	99.6285814631843
HVO_RS14900	7300.89728068922	8808.73404296012	10811.5780667516	2309.23602592546	2369.22266692219	2553.44905418745	1116.76675328902	1761.54809971352	1859.37254752486
HVO_RS14905	5239.46746025932	6247.3683998604	7492.07299855683	1179.36866704553	1333.04920600219	1202.21240412945	634.862115169588	996.30999847511	1143.56284809916
HVO_RS14910	6861.2612060471	7773.66162554311	9656.83467029329	1457.81352547706	1432.32908179267	1440.15027578007	694.509625525057	1121.34890390622	1287.59112347528
HVO_RS14915	10228.0372121111	10724.6798646731	12930.4761437479	1872.386981364	2102.22727280606	1812.08473830762	1190.58792947153	1804.56148318182	2001.23498417353
HVO_RS14920	62978.7153198772	72907.5094373303	72825.2733014393	14882.5682999891	14597.0333880674	15013.8797011541	9869.00540148744	12358.8454128112	13270.0938831507
HVO_RS14920	62978.7153198772	72907.5094373303	72825.2733014393	14882.5682999891	14597.0333880674	15013.8797011541	9869.00540148744	12358.8454128112	13270.0938831507
HVO_RS14925	4240.39730605975	5370.18838510021	6129.4146392764	1603.84238456559	1618.35836361365	1602.9498721726	884.082405961743	1392.43325088088	1341.7370916618
HVO_RS15025	18003.6058330308	19498.3267070429	16852.3230895303	5690.17537363626	5756.30503126905	4863.95101837373	5098.38571186889	5830.81423806367	5774.12604740977
HVO_RS15035	273339.491271773	306578.108548219	234078.614834927	122210.067131949	112676.875728453	101553.135925072	83716.7572074234	105799.91928586	96869.3029243996
HVO_RS15455	5076.7230007517	4950.06532539929	4849.31075052828	1580.32926318693	1550.8866033677	1611.71600428604	1583.90715617194	1919.59727617845	1629.79364241405
HVO_RS15465	342801.991065228	309835.678118823	337527.519939881	110118.135079796	114497.649372805	111634.187855533	82333.0530810585	130315.547240306	109068.389556821
HVO_RS16530	2165.40544733755	2804.2060050807	1692.87624140973	889.786014276745	643.873369204241	771.419625983064	590.569409460082	564.175541305182	421.255632491073
HVO_RS16535	3185.94882883327	3859.59206494479	2481.73007094081	887.310948868465	753.755950176223	742.616620467462	770.102509935947	550.171183896898	497.059987952191
HVO_RS16540	615.942572442047	659.270032146072	471.885430326733	176.967176692037	177.354341217935	157.79037804199	120.476159529857	125.038905431113	105.043178281836
HVO_RS16545	2365.445512149	2849.45002689465	2471.53816099855	1051.9027985191	1014.00416826776	827.773332426632	803.174396865712	696.216625440438	702.814667060941
HVO_RS17490	14.6922081499938	11.080168607497	8.15352795380964	831.62197718216	1393.77379022355	1581.66069418281	162.406587601523	179.055712577354	308.632018663125
HVO_RS17590	29262.3579553569	27299.6887541047	24285.283010422	10713.320619741	9694.72806505428	10062.267361646	7214.39590596437	9647.00163182124	9017.46954178191
HVO_RS17595	41137.0526501249	41052.9480381604	34419.0990660132	12903.753506069	11292.8449005941	11424.7747529927	10378.6668018515	14092.3847977082	13196.455366417
HVO_RS18805	210609.413320588	213603.490415327	181434.342410161	68881.070312439	61601.7171045555	60632.8312195162	59493.9623090087	73153.7615446619	73101.3887292477
HVO_RS19630	413.64216791521	408.119543709473	525.902553020722	212.8556251121	213.981868208595	165.304205567799	33.0718869297646	105.032680562135	44.3996939129408
HVO_RS19930	106918.589217078	136262.990187614	141621.684602702	15980.2598085613	13857.7356722296	16484.0852870375	22767.0413040956	26505.2470176656	19294.3743035821
HVO_RS19935	381.997411899838	466.290428898832	540.171226939889	139.841195567833	103.135404947386	136.501200052198	138.783811223119	160.049798951825	137.530759193744
HVO_RS20495	116169.029502285	159533.190958126	151279.53846399	18253.6073860667	15322.836751856	18158.4165207052	27540.6138407615	31741.8763771207	23005.5389630857
HVO_RS20685	860.059261703482	1201.27494652947	635.975180397152	129.940933934712	133.015755913451	130.239677114024	154.138615869081	164.05104392562	157.023307740888
HVO_RS20850	4885.72429480178	4988.84591552553	2510.26741877914	16207.9658261231	18218.3391486967	15015.1320057418	16729.0596617758	15861.9353873693	14046.5470669453
HVO_RS20905	543.61170154977	494.914197801533	499.40358717084	1619.93030971941	1924.87293158813	1585.41760794571	1673.67370640987	2037.63400290542	1550.74052886174
HVO_RS20945	74.5912106076608	31.3938110545748	89.6888074919061	248.744073532164	308.44233255293	255.470135877508	263.984526028657	364.113292615401	402.846003307658
