HVO_RS00005	4929
HVO_RS00010	1596
HVO_RS00015	938
HVO_RS00020	1060
HVO_RS00025	356
HVO_RS00030	1173
HVO_RS00035	7993
HVO_RS00040	104
HVO_RS00045	4721
HVO_RS00050	2390
HVO_RS00055	1480
HVO_RS00060	325
HVO_RS00065	6604
HVO_RS00070	1822
HVO_RS00075	2501
HVO_RS00080	3968
HVO_RS00085	303
HVO_RS00090	7564
HVO_RS00095	2292
HVO_RS00100	318
HVO_RS00105	173
HVO_RS00110	947
HVO_RS00115	320
HVO_RS00120	997
HVO_RS00125	205
HVO_RS00130	108
HVO_RS00135	2276
HVO_RS00140	222
HVO_RS00145	598
HVO_RS00150	151
HVO_RS00155	47
HVO_RS00160	4
HVO_RS00165	4
HVO_RS00170	27
HVO_RS00175	12
HVO_RS00180	211
HVO_RS00185	1054
HVO_RS00190	1753
HVO_RS00195	3859
HVO_RS00200	1826
HVO_RS00205	573
HVO_RS00210	2880
HVO_RS00215	2861
HVO_RS00220	6620
HVO_RS00225	66292
HVO_RS00230	15815
HVO_RS00235	8878
HVO_RS00240	90011
HVO_RS00245	28604
HVO_RS00250	27997
HVO_RS00255	6137
HVO_RS00260	23102
HVO_RS00265	9326
HVO_RS00270	1218
HVO_RS00275	34002
HVO_RS00280	24921
HVO_RS00285	44404
HVO_RS00290	28687
HVO_RS00295	21060
HVO_RS00300	31310
HVO_RS00305	16455
HVO_RS00310	43978
HVO_RS00315	29666
HVO_RS00320	26592
HVO_RS00325	1011
HVO_RS00330	1534
HVO_RS00335	3543
HVO_RS00340	8869
HVO_RS00345	4415
HVO_RS00350	1810
HVO_RS00355	2381
HVO_RS00360	859
HVO_RS00365	1108
HVO_RS00370	1672
HVO_RS00375	1573
HVO_RS00380	851
HVO_RS00385	695
HVO_RS00390	745
HVO_RS00395	4838
HVO_RS00400	2241
HVO_RS00405	3048
HVO_RS00410	988
HVO_RS00415	929
HVO_RS00420	1243
HVO_RS00425	283
HVO_RS00430	349
HVO_RS00435	489
HVO_RS00440	66
HVO_RS00445	120
HVO_RS00450	845
HVO_RS00455	176
HVO_RS00460	3300
HVO_RS00465	1319
HVO_RS00470	150
HVO_RS00475	30
HVO_RS00480	126
HVO_RS00485	1491
HVO_RS00490	3068
HVO_RS00495	310
HVO_RS00500	74
HVO_RS00505	500
HVO_RS00510	98
HVO_RS00515	132
HVO_RS00520	17
HVO_RS00525	23
HVO_RS00530	387
HVO_RS00535	471
HVO_RS00540	7089
HVO_RS00545	2690
HVO_RS00550	3787
HVO_RS00555	1094
HVO_RS00560	687
HVO_RS00565	5907
HVO_RS00570	67556
HVO_RS00575	258
HVO_RS00580	71
HVO_RS00585	10
HVO_RS00590	20
HVO_RS00595	17
HVO_RS00600	11
HVO_RS00605	17
HVO_RS00610	70
HVO_RS00615	385
HVO_RS00620	193
HVO_RS00630	14723
HVO_RS00635	3236
HVO_RS00640	6348
HVO_RS00645	4370
HVO_RS00650	4837
HVO_RS00655	4033
HVO_RS00660	752
HVO_RS00665	2541
HVO_RS00670	5177
HVO_RS00675	5039
HVO_RS00680	2587
HVO_RS00685	3763
HVO_RS00690	4524
HVO_RS00695	11709
HVO_RS00700	55227
HVO_RS00705	4268
HVO_RS00710	1393
HVO_RS00715	955
HVO_RS00720	26960
HVO_RS00725	4509
HVO_RS00730	17601
HVO_RS00735	787
HVO_RS00740	141
HVO_RS00745	9287
HVO_RS00750	1877
HVO_RS00755	7552
HVO_RS00760	29827
HVO_RS00765	1101
HVO_RS00770	1484
HVO_RS00775	220
HVO_RS00780	3592
HVO_RS00785	216
HVO_RS00790	81
HVO_RS00795	153
HVO_RS00800	0
HVO_RS00805	902
HVO_RS00810	349
HVO_RS00815	134
HVO_RS00820	226
HVO_RS00825	381
HVO_RS00830	139
HVO_RS00835	428
HVO_RS00840	1638
HVO_RS00845	216
HVO_RS00850	1001
HVO_RS00855	2139
HVO_RS00860	98
HVO_RS00865	16
HVO_RS00870	21
HVO_RS00875	45
HVO_RS00880	8
HVO_RS00885	29
HVO_RS00890	236
HVO_RS00895	25399
HVO_RS00900	2604
HVO_RS00905	10262
HVO_RS00910	2187
HVO_RS00915	2605
HVO_RS00920	547
HVO_RS00925	337
HVO_RS00930	386
HVO_RS00935	340
HVO_RS00940	3168
HVO_RS00945	638
HVO_RS00950	2887
HVO_RS00955	20881
HVO_RS00965	7811
HVO_RS00970	47551
HVO_RS00975	111390
HVO_RS00980	1212
HVO_RS00985	3714
HVO_RS00990	554
HVO_RS00995	1149
HVO_RS01000	162
HVO_RS01005	562
HVO_RS01010	198
HVO_RS01015	27
HVO_RS01025	52
HVO_RS01030	5
HVO_RS01035	33
HVO_RS01040	159
HVO_RS01045	40
HVO_RS01050	275
HVO_RS01055	109
HVO_RS01060	55
HVO_RS01065	303
HVO_RS01070	1097
HVO_RS01075	158
HVO_RS01080	52
HVO_RS01085	51
HVO_RS01090	84
HVO_RS01095	79
HVO_RS01100	3803
HVO_RS01105	435
HVO_RS01110	605
HVO_RS01115	621
HVO_RS01120	197
HVO_RS01125	31
HVO_RS01130	28
HVO_RS01135	6
HVO_RS01140	80
HVO_RS01145	2784
HVO_RS01150	32
HVO_RS01155	205
HVO_RS01160	1696
HVO_RS01165	564
HVO_RS01170	641
HVO_RS01175	649
HVO_RS01180	307
HVO_RS01185	20400
HVO_RS01190	11091
HVO_RS01195	115
HVO_RS01200	2280
HVO_RS01205	304
HVO_RS01210	550
HVO_RS01215	3595
HVO_RS01220	42
HVO_RS01230	1376
HVO_RS01235	3947
HVO_RS01240	720
HVO_RS01245	7964
HVO_RS01250	943
HVO_RS01255	123
HVO_RS01260	1741
HVO_RS01265	31
HVO_RS01270	1390
HVO_RS01275	53
HVO_RS01280	90
HVO_RS01285	226
HVO_RS01290	406
HVO_RS01295	60679
HVO_RS01300	361
HVO_RS01305	756
HVO_RS01310	945
HVO_RS01315	2415
HVO_RS01330	25713
HVO_RS01335	552
HVO_RS01340	287
HVO_RS01345	1474
HVO_RS01350	3680
HVO_RS01355	6232
HVO_RS01360	32
HVO_RS01365	852
HVO_RS01370	3499
HVO_RS01375	754
HVO_RS01380	1821
HVO_RS01385	1662
HVO_RS01390	7293
HVO_RS01395	1987
